Date,Predicted_HashRate,Actual_HashRate
2022-01-01,2.104382010232607e+20,2.0753247691487887e+20
2022-01-02,1.9316044033534204e+20,1.9064029856134224e+20
2022-01-03,1.9959559050084893e+20,1.6892178353536654e+20
2022-01-04,2.022648858195606e+20,1.7736787271213482e+20
2022-01-05,1.9284602914648742e+20,1.8098762521646413e+20
2022-01-06,1.8439017505531065e+20,1.761612885440251e+20
2022-01-07,1.8863685688702937e+20,1.6892178353536654e+20
2022-01-08,1.85438027110881e+20,1.744606740180451e+20
2022-01-09,1.8637073707455113e+20,1.7082607664266913e+20
2022-01-10,2.0080776659535387e+20,1.720376091011278e+20
2022-01-11,1.852025446436341e+20,1.9142212843646616e+20
2022-01-12,2.1774598088935326e+20,1.6840301172575184e+20
2022-01-13,2.0286788076686426e+20,2.1686431006409772e+20
2022-01-14,2.0822468357873566e+20,1.9263366089492477e+20
2022-01-15,2.1413309510543036e+20,2.0111438810413528e+20
2022-01-16,2.0399899360586695e+20,2.120181802302631e+20
2022-01-17,1.788194112618712e+20,1.950567258118421e+20
2022-01-18,2.1043118648384717e+20,1.6476841435037594e+20
2022-01-19,2.081489241673895e+20,2.0959511531334586e+20
2022-01-20,1.693227342308446e+20,2.0474898547951124e+20
2022-01-21,1.6325730379898985e+20,1.774749496678698e+20
2022-01-22,1.7306005207603377e+20,1.774749496678698e+20
2022-01-23,1.8086909835121938e+20,1.8674602912813164e+20
2022-01-24,1.8487785772877565e+20,1.986659884341826e+20
2022-01-25,1.854535772877565e+20,2.0131486827997168e+20
2022-01-26,1.4956012361748575e+20,1.7217718997629157e+20
2022-01-27,1.9991980363359542e+20,1.7350162989918614e+20
2022-01-28,1.9732732785171805e+20,2.039637481257608e+20
2022-01-29,1.9842644039968027e+20,1.9734154851128803e+20
2022-01-30,1.9635916322741685e+20,1.933682287426044e+20
2022-01-31,2.0970073399465915e+20,1.8939490897392075e+20
2022-02-01,2.0854011444063696e+20,2.039637481257608e+20
2022-02-02,1.9990632777060552e+20,2.0263930820286625e+20
2022-02-03,1.9990632777060552e+20,1.9469266866549893e+20
2022-02-04,1.9990632777060552e+20,1.7248311711713876e+20
2022-02-05,2.1796739239033707e+20,1.5788839182261164e+20
2022-02-06,1.9828463022355907e+20,2.0697974054056657e+20
2022-02-07,2.21196983412848e+20,1.8044387636869903e+20
