Date,Predicted_HashRate,Actual_HashRate
2022-01-01,2.0935494491830498e+20,2.0753247691487887e+20
2022-01-02,1.9869054984192085e+20,1.9064029856134224e+20
2022-01-03,2.0165019543783123e+20,1.6892178353536654e+20
2022-01-04,2.032903765404599e+20,1.7736787271213482e+20
2022-01-05,1.9520277659157083e+20,1.8098762521646413e+20
2022-01-06,1.896493713803951e+20,1.761612885440251e+20
2022-01-07,1.917823255107131e+20,1.6892178353536654e+20
2022-01-08,1.900891690992637e+20,1.744606740180451e+20
2022-01-09,1.9047065976797318e+20,1.7082607664266913e+20
2022-01-10,1.9975303500335533e+20,1.720376091011278e+20
2022-01-11,1.912086577147551e+20,1.9142212843646616e+20
2022-01-12,2.133027972199408e+20,1.6840301172575184e+20
2022-01-13,2.0159811325946043e+20,2.1686431006409772e+20
2022-01-14,2.056534734994103e+20,1.9263366089492477e+20
2022-01-15,2.1022227865623364e+20,2.0111438810413528e+20
2022-01-16,2.0233049424799036e+20,2.120181802302631e+20
2022-01-17,1.8744413540228402e+20,1.950567258118421e+20
2022-01-18,2.0682956865028964e+20,1.6476841435037594e+20
2022-01-19,2.0512307829003082e+20,2.0959511531334586e+20
2022-01-20,1.8046439571583857e+20,2.0474898547951124e+20
2022-01-21,1.7398557469233814e+20,1.774749496678698e+20
2022-01-22,1.773731658510745e+20,1.774749496678698e+20
2022-01-23,1.817403992334806e+20,1.8674602912813164e+20
2022-01-24,1.8522342667392703e+20,1.986659884341826e+20
2022-01-27,1.9994994357431838e+20,1.7350162989918614e+20
2022-01-28,1.987968696314079e+20,2.039637481257608e+20
2022-01-29,2.0106547148638696e+20,1.9734154851128803e+20
2022-01-30,2.003847937924547e+20,1.933682287426044e+20
2022-01-31,2.0905367026980064e+20,1.8939490897392075e+20
2022-02-01,2.0816569593702544e+20,2.039637481257608e+20
2022-02-02,2.014484598197378e+20,2.0263930820286625e+20
2022-02-06,2.0736496105972246e+20,2.0697974054056657e+20
2022-02-07,2.2054092187476132e+20,1.8044387636869903e+20
2022-02-08,2.08338704866264e+20,2.043261541233798e+20
2022-02-09,2.1303292041924985e+20,1.8575104920307253e+20
2022-02-10,2.0835813524268466e+20,1.9503860166322615e+20
2022-02-11,2.309957864540516e+20,1.8840463562025927e+20
2022-02-12,2.0847312697685102e+20,2.4811033000696116e+20
2022-02-13,2.0545460612092065e+20,2.0963332695775327e+20
2022-02-14,2.135022218207167e+20,2.029993609147864e+20
2022-02-15,2.036731309608214e+20,2.3218881150384062e+20
2022-02-16,2.0253911306273997e+20,2.0697974054056657e+20
2022-02-17,1.8473753775874402e+20,2.1826998682616473e+20
2022-02-18,1.9225128760764688e+20,1.8629412888347817e+20
2022-02-19,1.8629494580853745e+20,2.0714794928088243e+20
2022-02-22,2.020668323025846e+20,2.113187133603633e+20
2022-02-23,1.9017976303477218e+20,2.085382039740427e+20
2022-02-24,1.978993921690881e+20,1.835136194971576e+20
2022-02-27,2.0859217095781656e+20,1.890746382697987e+20
2022-02-28,2.272768064575868e+20,2.1409922274668387e+20
2022-03-01,2.1255742111623492e+20,2.2522126029196607e+20
2022-03-02,2.187044681512076e+20,1.890746382697987e+20
2022-03-03,2.090175517458874e+20,2.0575769458772217e+20
2022-03-06,2.0750463761701198e+20,1.7940901115511246e+20
2022-03-07,2.086287744161253e+20,2.0269109657218813e+20
2022-03-08,2.0955388326115505e+20,2.0269109657218813e+20
2022-03-09,2.0819671206717866e+20,1.8899575220920245e+20
2022-03-10,2.0315438266079386e+20,1.9858249326329243e+20
2022-03-11,2.1417037167698697e+20,1.8899575220920245e+20
2022-03-12,2.109986379075014e+20,2.1364737206257667e+20
2022-03-13,2.1173871979231674e+20,2.0679969988108383e+20
2022-03-14,2.0386803869882224e+20,2.0953876875368097e+20
2022-03-15,2.1641785805808317e+20,1.90365286645501e+20
2022-03-16,2.1979416651635324e+20,2.1227783762627812e+20
2022-03-17,2.1002252953114408e+20,2.1775597537147237e+20
2022-03-18,2.194901402239799e+20,1.951494547366297e+20
2022-03-19,2.1861487303624547e+20,2.1152563275648673e+20
2022-03-20,2.16884041387555e+20,2.1016095125483192e+20
2022-03-21,2.175807781784922e+20,2.087962697531772e+20
2022-03-22,2.1453306811869404e+20,2.0333754374655816e+20
2022-03-23,2.1502177001748084e+20,1.9787881773993915e+20
2022-03-24,2.2107880465477386e+20,1.951494547366297e+20
2022-03-25,2.2432019047856865e+20,2.1289031425814145e+20
2022-03-26,2.0664939984659186e+20,2.1971372176641524e+20
2022-03-27,2.2125217444210976e+20,1.7877327671677262e+20
2022-03-28,2.1339136227652803e+20,2.1698435876310568e+20
2022-03-29,2.0329402980918437e+20,2.060669067498677e+20
2022-03-30,2.1062023758121658e+20,1.8423200272339164e+20
2022-03-31,2.1045394988838653e+20,1.9610838061904616e+20
2022-04-01,2.0875857494870183e+20,2.003716062846776e+20
2022-04-02,2.1093386361616787e+20,1.918451549534147e+20
2022-04-03,2.217671662726088e+20,1.9752945584092332e+20
2022-04-04,2.150684328868276e+20,2.2452988505658914e+20
2022-04-05,2.1482409388134774e+20,2.060559071721862e+20
2022-04-06,2.048003256515017e+20,2.131612832815719e+20
2022-04-07,2.0247775115645574e+20,1.9610838061904616e+20
2022-04-08,2.1166518618621673e+20,1.904240797315376e+20
2022-04-09,2.0455391662210754e+20,2.1742450894720336e+20
2022-04-10,1.997329096687266e+20,1.9895053106280048e+20
2022-04-11,2.1062665326497517e+20,1.94687305397169e+20
2022-04-12,2.1066377019759047e+20,2.1742450894720336e+20
2022-04-13,2.1130611795099628e+20,1.9895053106280048e+20
2022-04-14,2.2150516585834512e+20,1.9363035285416952e+20
2022-04-15,2.0750291235922906e+20,2.2169272283303467e+20
2022-04-16,2.25854325273797e+20,1.8801787885839647e+20
2022-04-17,2.055079665772014e+20,2.3151455232563744e+20
2022-04-20,2.3105419198811092e+20,2.2449895983092115e+20
2022-04-21,2.0811357763292384e+20,2.371270263214105e+20
2022-04-22,2.231374401134454e+20,1.8942099735733977e+20
2022-04-23,2.2747079031135322e+20,2.2870831532775096e+20
2022-04-24,2.211661209047139e+20,2.39933263319297e+20
2022-04-25,2.111849430532712e+20,2.273051968288077e+20
2022-04-26,2.2531341325286048e+20,1.9643658985205603e+20
2022-04-27,2.0458380408075056e+20,2.3853014482035373e+20
2022-04-28,2.141598046366323e+20,1.9550362058301188e+20
2022-04-29,2.132381071023628e+20,2.22163205207968e+20
2022-04-30,2.2599633539542296e+20,2.22163205207968e+20
2022-05-01,2.2364484785058303e+20,2.473417017982044e+20
2022-05-02,2.1719743638068403e+20,2.3697408555516592e+20
2022-05-03,2.1601370017242107e+20,2.22163205207968e+20
2022-05-04,2.2378790762292943e+20,2.1623885306908885e+20
2022-05-05,2.0702077263967604e+20,2.3253082145100657e+20
